,price,rooms,floor,lat,lon
0,63000000,3.0,6.0,55.778894,37.608844
2,16004680,3.0,6.0,55.594802,37.431264
3,7841776,1.0,10.0,55.594332,37.428099
4,120000000,3.0,16.0,55.721097,37.464342
5,13300000,3.0,14.0,55.557342,37.809447
6,9500000,2.0,3.0,55.740408,38.011392
7,15000000,3.0,11.0,55.659569,37.21837
8,7135671,2.0,11.0,55.700571,37.962692
9,31500000,2.0,4.0,55.820044,37.602498
10,20700000,3.0,14.0,55.816079,37.402947
11,13442826,2.0,21.0,55.727742,37.712031
12,14000000,2.0,14.0,55.636639,37.314014
13,7200000,1.0,16.0,55.701957,37.966424
14,11800000,1.0,12.0,55.820089,37.374124
15,7550000,1.0,8.0,55.905461,37.417544
16,111264064,2.0,2.0,55.750044,37.649714
17,65000000,2.0,4.0,55.695177,37.531533
18,37569823,4.0,12.0,55.558567,37.503349
19,9700000,1.0,11.0,55.615313,37.595093
20,11500000,1.0,10.0,55.573292,37.591043
21,8800000,2.0,3.0,55.931653,37.850988
22,20640000,1.0,17.0,55.820044,37.602498
23,27500000,3.0,6.0,55.885815,37.678043
24,11500000,2.0,2.0,55.82454,37.826496
25,18900000,3.0,3.0,55.806257,37.404501
26,170663394,3.0,16.0,55.759822,37.575351
27,15700000,3.0,4.0,55.926089,37.762722
28,23123514,2.0,19.0,55.794366,37.654127
29,12500000,3.0,7.0,55.52108,37.590721
30,11218713,1.0,24.0,55.860761,37.377363
31,15000000,2.0,5.0,55.67629,37.689361
32,65000000,5.0,3.0,55.793629,37.524699
33,7026534,1.0,3.0,55.728307,37.739934
34,11300000,2.0,8.0,55.844424,37.579546
35,10260000,2.0,2.0,55.607467,37.980339
36,19362780,2.0,20.0,55.720101,37.688791
37,25856480,2.0,19.0,55.797873,37.625361
38,50000000,3.0,24.0,55.696476,37.474056
39,12925115,1.0,7.0,55.839902,37.512305
40,6600000,1.0,12.0,55.817534,37.953557
41,7199603,1.0,24.0,55.728307,37.739934
42,13550000,3.0,4.0,55.876376,37.716456
43,22050000,2.0,5.0,55.820044,37.602498
44,10200000,1.0,8.0,55.637593,37.316732
45,8300000,1.0,8.0,55.723832,37.355074
46,13500000,3.0,3.0,55.771888,37.836552
47,12212640,2.0,21.0,55.548055,37.514951
48,14400000,3.0,12.0,56.008364,37.842638
49,24105540,1.0,2.0,55.749804,37.458819
